Security,Date,RSI,CCI,Change,CMF
HDFC,2016-08-22,15.241228070175367,-92.33,LOSS,-0.51
HDFC,2016-08-23,16.094172134311037,-92.19,GAIN,-0.52
HDFC,2016-08-24,30.998168498168454,-74.48,LOSS,-0.51
HDFC,2016-08-25,28.06855025474752,-65.63,LOSS,-0.5
HDFC,2016-08-26,18.243243243243242,-83.61,LOSS,-0.51
HDFC,2016-08-29,19.094766619519092,-85.34,GAIN,-0.46
HDFC,2016-08-30,27.837573385518624,-66.24,GAIN,-0.44
HDFC,2016-08-31,37.87167449139278,-48.21,LOSS,-0.43
HDFC,2016-09-01,30.932203389830534,-24.47,LOSS,-0.44
HDFC,2016-09-02,29.507364144235666,-61.95,GAIN,-0.46
HDFC,2016-09-06,47.57575757575759,-21.48,GAIN,-0.44
HDFC,2016-09-07,55.04545454545461,56.53,GAIN,-0.4
HDFC,2016-09-08,60.384263494967925,84.08,LOSS,-0.31
HDFC,2016-09-09,60.68965517241384,76.65,LOSS,-0.26
HDFC,2016-09-12,58.95489057615008,28.66,LOSS,-0.27
HDFC,2016-09-14,59.19282511210766,-3.01,GAIN,-0.2
HDFC,2016-09-15,57.39700374531837,31.32,LOSS,-0.14
HDFC,2016-09-16,54.29583702391501,38.12,LOSS,-0.13
HDFC,2016-09-19,57.04979060027929,35.23,LOSS,-0.14
HDFC,2016-09-20,53.84277558190604,-49.4,LOSS,-0.15
HDFC,2016-09-21,48.25079509313941,-51.91,GAIN,-0.17
HDFC,2016-09-22,47.41458910433983,-57.98,LOSS,-0.15
HDFC,2016-09-23,49.18582375478936,-60.32,LOSS,-0.15
HDFC,2016-09-26,46.894977168949694,-92.36,GAIN,-0.15
HDFC,2016-09-27,42.397226349678,-62.61,GAIN,-0.13
HDFC,2016-09-28,35.49639489739319,-53.81,LOSS,-0.08
HDFC,2016-09-29,21.887881286067724,-157.51,GAIN,-0.08
HDFC,2016-09-30,30.846698992913147,-130.35,GAIN,-0.07
HDFC,2016-10-03,48.156318941065265,-12.39,GAIN,0.03
HDFC,2016-10-04,50.84856396866839,34.76,LOSS,0.04
HDFC,2016-10-05,47.68756423432683,32.29,LOSS,0.02
HDFC,2016-10-06,49.396735273243415,34.85,LOSS,0.03
HDFC,2016-10-07,46.184472461844734,-35.79,GAIN,0.01
HDFC,2016-10-10,49.9661475964793,-34.23,GAIN,0.01
HDFC,2016-10-13,53.666666666666664,-1.94,LOSS,0.03
HDFC,2016-10-14,49.484536082474165,-6.5,GAIN,-0.01
HDFC,2016-10-17,51.18421052631576,-16.9,LOSS,0.02
HDFC,2016-10-18,49.53836357847825,-48.66,GAIN,-0
HDFC,2016-10-19,48.4049479166667,-43.06,LOSS,0.04
HDFC,2016-10-20,41.94208832992102,-105.47,LOSS,0.03
HDFC,2016-10-21,51.17773019271948,-140.91,LOSS,0.04
HDFC,2016-10-24,36.638763683193794,-178.42,LOSS,-0.02
HDFC,2016-10-25,16.615969581749013,-185.9,LOSS,-0.02
HDFC,2016-10-26,13.305001634521048,-166.8,GAIN,-0.07
HDFC,2016-10-27,15.510597302504749,-162.58,GAIN,-0.04
HDFC,2016-10-28,27.15909090909092,-113.78,GAIN,0.03
HDFC,2016-10-30,35.64787914003483,-62.34,LOSS,0.06
HDFC,2016-11-01,31.41836173721829,-69.06,GAIN,0.04
HDFC,2016-11-02,30.809761508596765,-70.78,LOSS,0.02
HDFC,2016-11-03,31.33107727016359,-60.14,LOSS,0.01
HDFC,2016-11-04,29.546742209631688,-79.97,GAIN,0.02
HDFC,2016-11-07,36.06509735541992,-26.95,LOSS,0
HDFC,2016-11-08,32.43556327830869,-46.4,LOSS,0.01
HDFC,2016-11-09,30.32764689953966,-144.37,GAIN,0.05
HDFC,2016-11-10,34.679776773850634,-74.23,GAIN,0.06
HDFC,2016-11-11,41.7737386399248,-55.93,GAIN,0.06
HDFC,2016-11-15,46.56413612565445,-58.26,LOSS,0.04
HDFC,2016-11-16,47.07244459146546,-56.62,GAIN,0.03
HDFC,2016-11-17,46.20040349697379,-71.71,LOSS,0.02
HDFC,2016-11-18,34.52107279693483,-87.17,LOSS,0.04
HDFC,2016-11-21,26.86567164179104,-88.58,GAIN,0.05
HDFC,2016-11-22,41.42857142857143,-26.93,LOSS,0.12
HDFC,2016-11-23,38.089278264497324,-17.9,LOSS,0.12
HDFC,2016-11-24,37.05357142857142,-37.42,GAIN,0.18
HDFC,2016-11-25,38.691206543967354,-32.88,GAIN,0.17
HDFC,2016-11-28,34.57005674377994,-19.59,LOSS,0.04
HDFC,2016-11-29,35.38873994638065,-31.37,GAIN,0.03
