"","Date","Open.Price","High.Price","Low.Price","Close.Price","WAP","No.of.Shares","No..of.Trades","Total.Turnover..Rs..","Deliverable.Quantity","X..Deli..Qty.to.Traded.Qty","Spread.High.Low","Spread.Close.Open","Security","Load.Type"
"184","2018-08-24",1330,1355.65,1309.95,1318.85,"1333.3460801915",16710,1116,22280213,"4006","23.97",45.7,-11.15,"HDFC","DUMP"
"382","2018-08-23",1275,1331.9,1275,1325.85,"1309.48625475591",37322,1841,48872646,"11171","29.93",56.9,50.85,"HDFC","DUMP"
"581","2018-08-21",1232,1282,1232,1272.05,"1254.30620456538",141412,2346,177373949,"112834","79.79",50,40.05,"HDFC","DUMP"
"780","2018-08-20",1234.05,1266.65,1210,1223.05,"1241.59909506317",22322,1344,27714975,"6492","29.08",56.65,-11,"HDFC","DUMP"
"976","2018-08-17",1211.55,1235,1194.8,1227,"1215.84274919036",2779,330,3378827,"1197","43.07",40.2,15.45,"HDFC","DUMP"
"1172","2018-08-16",1208,1219.9,1190.75,1198.8,"1204.9101332507",3227,254,3888245,"1661","51.47",29.15,-9.2,"HDFC","DUMP"
"1367","2018-08-14",1200,1219.3,1194,1207.35,"1202.3319112628",1172,154,1409133,"341","29.1",25.3,7.35,"HDFC","DUMP"
"1562","2018-08-13",1201,1233.35,1163.55,1204.9,"1195.42385131647",5811,365,6946608,"1647","28.34",69.8,3.9,"HDFC","DUMP"
"1757","2018-08-10",1197.45,1211.65,1197.45,1206.95,"1207.8572019297",7255,213,8763004,"1085","14.96",14.2,9.5,"HDFC","DUMP"
"1952","2018-08-09",1206,1216.1,1198.2,1204.9,"1208.2737704918",1830,218,2211141,"628","34.32",17.9,-1.1,"HDFC","DUMP"
"2148","2018-08-08",1211.3,1223.05,1206,1211.65,"1213.61773362767",2718,240,3298613,"953","35.06",17.05,0.35,"HDFC","DUMP"
"2343","2018-08-07",1195.75,1220,1188.05,1205.1,"1195.84611260054",5595,380,6690759,"2533","45.27",31.95,9.35,"HDFC","DUMP"
"2539","2018-08-06",1205,1214,1190,1193.05,"1201.60956651719",3345,232,4019384,"2131","63.71",24,-11.95,"HDFC","DUMP"
"2734","2018-08-03",1210.55,1212.15,1200.1,1205.9,"1207.99407582938",844,112,1019547,"235","27.84",12.05,-4.65,"HDFC","DUMP"
"2930","2018-08-02",1213.05,1230,1190.25,1204.05,"1213.12248563218",2784,264,3377333,"816","29.31",39.75,-9,"HDFC","DUMP"
"3126","2018-08-01",1213.3,1233.95,1210,1213,"1216.26170376055",1303,177,1584789,"509","39.06",23.95,-0.3,"HDFC","DUMP"
"3321","2018-07-31",1224.1,1238,1208,1221.8,"1224.36860841424",3090,405,3783299,"1516","49.06",30,-2.3,"HDFC","DUMP"
"3514","2018-07-30",1188,1220,1181,1207.5,"1205.11675865271",96935,529,116817993,"92253","95.17",39,19.5,"HDFC","DUMP"
"3710","2018-07-27",1183,1193,1177.1,1184.8,"1184.02558447287",4534,380,5368372,"1840","40.58",15.9,1.8,"HDFC","DUMP"
"3906","2018-07-26",1172.5,1184,1163.3,1175.15,"1175.29993834772",3244,437,3812673,"873","26.91",20.7,2.65,"HDFC","DUMP"
"4100","2018-07-25",1174.95,1225.9,1147.4,1173.35,"1166.82896952104",34450,4349,40197258,"12383","35.94",78.5,-1.6,"HDFC","DUMP"
"4293","2018-07-24",1146.7,1185,1144.45,1168,"1167.85202252944",5859,501,6842445,"2310","39.43",40.55,21.3,"HDFC","DUMP"
"4487","2018-07-23",1145,1151.9,1130,1143.1,"1141.14496975129",4463,407,5092930,"1993","44.66",21.9,-1.9,"HDFC","DUMP"
"4682","2018-07-20",1171.25,1179,1130.8,1139.5,"1149.87608255021",10854,1021,12480755,"3402","31.34",48.2,-31.75,"HDFC","DUMP"
"4878","2018-07-19",1207,1207,1151.1,1158.25,"1181.08740558039",6487,626,7661714,"2691","41.48",55.9,-48.75,"HDFC","DUMP"
"5073","2018-07-18",1183.95,1198,1183,1187.55,"1189.97091243111",3266,336,3886445,"1339","41",15,3.6,"HDFC","DUMP"
"5269","2018-07-17",1189.85,1200.55,1178.75,1183.95,"1185.21490514905",3690,300,4373443,"1714","46.45",21.8,-5.9,"HDFC","DUMP"
"5465","2018-07-16",1216.9,1236.5,1194,1198.3,"1209.89185667752",3070,326,3714368,"1220","39.74",42.5,-18.6,"HDFC","DUMP"
"5661","2018-07-13",1222.35,1234,1185.6,1221.4,"1210.78886578887",4329,579,5241505,"1710","39.5",48.4,-0.95,"HDFC","DUMP"
"5856","2018-07-12",1252.1,1259.95,1217.1,1229.45,"1241.94363480497",4666,495,5794909,"1854","39.73",42.85,-22.65,"HDFC","DUMP"
"6051","2018-07-11",1217.45,1249.85,1213,1245.9,"1237.61733333333",4500,621,5569278,"1973","43.84",36.85,28.45,"HDFC","DUMP"
"6247","2018-07-10",1210.05,1235.5,1204.5,1224.45,"1224.69453758789",9245,997,11322301,"3656","39.55",31,14.4,"HDFC","DUMP"
"6444","2018-07-09",1175.05,1230.7,1175.05,1209.85,"1199.01461813842",3352,372,4019097,"972","29",55.65,34.8,"HDFC","DUMP"
"6640","2018-07-06",1177.1,1186.6,1170,1173.95,"1178.68797308663",1189,163,1401460,"432","36.33",16.6,-3.15,"HDFC","DUMP"
"6835","2018-07-05",1175.55,1189.15,1170,1178.05,"1177.66666666667",1959,251,2307049,"721","36.8",19.15,2.5,"HDFC","DUMP"
"7029","2018-07-04",1172.2,1189.3,1171.3,1185.35,"1182.28303362002",1279,183,1512140,"485","37.92",18,13.15,"HDFC","DUMP"
"7225","2018-07-03",1183.7,1224,1175,1189.7,"1185.30310880829",3088,294,3660216,"1553","50.29",49,6,"HDFC","DUMP"
"7423","2018-07-02",1192.5,1192.5,1165.5,1183.75,"1178.13112667091",1571,201,1850844,"646","41.12",27,-8.75,"HDFC","DUMP"
"7618","2018-06-29",1155.75,1200,1155.75,1180.6,"1191.30595393307",6903,533,8223585,"2160","31.29",44.25,24.85,"HDFC","DUMP"
"7814","2018-06-28",1215,1215,1123,1146.5,"1156.16940363008",8099,492,9363816,"3106","38.35",92,-68.5,"HDFC","DUMP"
"8011","2018-06-27",1195.05,1195.1,1180,1189.4,"1188.15125240848",1038,174,1233301,"319","30.73",15.1,-5.65,"HDFC","DUMP"
"8208","2018-06-26",1182,1195.3,1175.75,1188.6,"1187.09041167275",3838,341,4556053,"1186","30.9",19.55,6.6,"HDFC","DUMP"
"8405","2018-06-25",1214,1214,1177,1186.95,"1196.3087797619",2688,213,3215678,"1329","49.44",37,-27.05,"HDFC","DUMP"
"8602","2018-06-22",1194,1218.9,1177.65,1213.3,"1201.85584371842",2969,258,3568310,"1282","43.18",41.25,19.3,"HDFC","DUMP"
"8798","2018-06-21",1202.35,1235.4,1202,1206.2,"1214.6010975095",2369,165,2877390,"878","37.06",33.4,3.85,"HDFC","DUMP"
"8993","2018-06-20",1225,1232,1195.05,1203.3,"1209.96693766938",3690,251,4464778,"1953","52.93",36.95,-21.7,"HDFC","DUMP"
"9189","2018-06-19",1214,1224,1195,1211.1,"1204.05223880597",1876,188,2258802,"677","36.09",29,-2.9,"HDFC","DUMP"
"9386","2018-06-18",1220,1230,1212,1214.8,"1221.68488828245",11726,283,14325477,"855","7.29",18,-5.2,"HDFC","DUMP"
"9581","2018-06-15",1245,1267,1213,1218.15,"1235.8223645894",3434,345,4243814,"1836","53.47",54,-26.85,"HDFC","DUMP"
"9775","2018-06-14",1256.5,1267.4,1253.55,1259,"1258.18872357087",1277,159,1606707,"589","46.12",13.85,2.5,"HDFC","DUMP"
"9969","2018-06-13",1296,1313.1,1246.15,1260.7,"1287.52122035946",6621,637,8524678,"1835","27.71",66.95,-35.3,"HDFC","DUMP"
"10164","2018-06-12",1250,1292.15,1246.35,1288.6,"1277.7219123506",3765,470,4810623,"1329","35.3",45.8,38.6,"HDFC","DUMP"
"10360","2018-06-11",1253,1277.95,1230,1247,"1254.99480830671",2504,301,3142507,"613","24.48",47.95,-6,"HDFC","DUMP"
"10556","2018-06-08",1240,1281.3,1227.2,1239.25,"1255.70235185029",11863,704,14896397,"2289","19.3",54.1,-0.75,"HDFC","DUMP"
"10750","2018-06-07",1208,1279,1198.25,1258.05,"1251.05245133381",5548,461,6940839,"2766","49.86",80.75,50.05,"HDFC","DUMP"
"10945","2018-06-06",1156.4,1198,1152.55,1194.55,"1177.81672394044",2619,278,3084702,"736","28.1",45.45,38.15,"HDFC","DUMP"
"11141","2018-06-05",1174,1176,1151.25,1158.7,"1163.84469067405",5415,585,6302219,"2734","50.49",24.75,-15.3,"HDFC","DUMP"
"11336","2018-06-04",1201,1208.15,1172.1,1190.5,"1179.35505779032",87904,565,103670027,"2465","2.8",36.05,-10.5,"HDFC","DUMP"
"11532","2018-06-01",1234.95,1240.05,1191,1199.1,"1208.37460133372",3449,373,4167684,"1765","51.17",49.05,-35.85,"HDFC","DUMP"
"11727","2018-05-31",1258,1258,1221.85,1227.65,"1229.64136518771",7325,269,9007123,"398","5.43",36.15,-30.35,"HDFC","DUMP"
"11924","2018-05-30",1214,1252.5,1212.6,1241.3,"1240.26781555659",6441,659,7988565,"2644","41.05",39.9,27.3,"HDFC","DUMP"
